CID,TRANSIENT_NAME,RA,DEC
1246273,DES13C1bgrw,54.566567,-27.994892
1246274,DES13C1amtw,54.642803,-28.040766
1246275,DES13C1e,54.647026,-26.401205
1246276,DES13C1axel,54.897595,-26.387381
1246278,DES13C1wg,53.438839,-27.017366
1246279,DES13C3bfdi,53.676769,-27.664312
1246281,DES13C1wd,53.725414,-27.622061
1246285,DES13C1btht,53.252930,-27.127827
1246286,DES13C1c,53.265087,-27.140486
1246289,DES13C1bgsy,53.667477,-27.360554
1246291,DES13C1anvx,54.498730,-27.789545
1246292,DES13C1ehw,54.306309,-26.711586
1246299,DES13C1sc,54.777508,-27.865997
1246303,DES13C1axtk,54.961479,-27.914311
1246304,DES13C1bthr,54.940884,-27.892603
1246314,DES13C1wc,54.836567,-26.640186
1246315,DES13C1atfx,54.675255,-26.979437
1246320,DES13C1bgti,54.133026,-26.829598
1246322,DES13C1sh,54.161823,-26.835423
1246323,DES13C1atzy,53.630512,-26.371588
1246326,DES13C1axfg,53.662258,-26.313198
1246329,DES13C1bgvw,54.611256,-27.720718
1246330,DES13C1axrp,55.002884,-26.869297
1246331,DES13C1fqm,54.646359,-27.712055
1246333,DES13C1fpr,54.768429,-27.661900
1246334,DES13C1bths,54.711472,-27.714680
1246336,DES13C1bgtl,53.949310,-26.591373
1246337,DES13C1fqb,55.086681,-27.480574
1246338,DES13C1bgsc,55.223442,-27.209274
1246341,DES13C1bthu,54.027573,-27.548693
1246344,DES13C1fdr,54.132809,-27.500887
1246348,DES13C1wb,53.553459,-26.808859
1246351,DES13C1avl,54.013802,-27.061131
1246360,DES13C1iof,53.735119,-26.679661
1246365,DES13C1bgsa,53.498909,-26.493332
1246367,DES13C1avk,53.382050,-27.402515
1246369,DES13C1b,53.550098,-27.341570
1246370,DES13C1axkh,53.729591,-27.800644
1246371,DES13C1bgse,53.740738,-27.832174
1246375,DES13C1bgvn,54.560612,-27.527662
1246380,DES13C1ehz,54.720589,-27.125824
1246381,DES13C1bgso,53.615074,-26.916760
1246382,DES13C1fqo,53.778740,-26.876446
1246387,DES13C1bgtf,53.510220,-27.175163
1246389,DES13C1gpi,53.570515,-27.258045
1246392,DES13C1agni,53.516560,-26.666332
1246393,DES13C1f,54.663887,-26.273268
1246395,DES13C1axhn,54.832661,-27.201922
1246396,DES13C1bgrs,55.089272,-27.226055
1246397,DES13C1h,54.091187,-27.355764
1246402,DES13C1jus,53.780541,-27.542790
1246403,DES13C1axvm,53.856339,-27.567974
1246404,DES13C1eid,53.761322,-27.202889
1246406,DES13C1atfh,53.977757,-27.124292
1246410,DES13X3rf,37.388790,-4.669470
1246417,DES13X3ccw,37.493424,-4.696933
1246418,DES13X3tdx,37.481194,-4.690537
1246420,DES13X3adww,36.011265,-5.191860
1246422,DES13X3aygr,36.052391,-5.178205
1246430,DES13X3qk,36.278618,-5.200730
1246433,DES13X3bhsk,36.360428,-4.051464
1246436,DES13X3my,36.439171,-4.045491
1246437,DES13X3bhsl,36.462338,-4.046510
1246438,DES13X3ccy,36.520214,-3.998035
1246440,DES13X3bdfj,36.542740,-3.971077
1246444,DES13X3bdf,36.990505,-4.490435
1246447,DES13X3ayee,37.090206,-4.528664
1246451,DES13X3bdfh,37.164318,-4.486731
1246453,DES13X3bhsy,37.182705,-4.118243
1246456,DES13X3ccr,37.273407,-4.128413
1246458,DES13X3bdgh,37.370937,-4.146222
1246459,DES13X3bhsz,37.345104,-4.195500
1246460,DES13X3bbw,37.343540,-4.262490
1246467,DES13X3qh,35.611824,-4.220401
1246470,DES13X3bcxx,35.710831,-4.180994
1246473,DES13X3axuv,35.795113,-4.243055
1246477,DES13X3pd,37.124374,-4.897280
1246480,DES13X3bhup,37.269005,-4.911466
1246486,DES13X3bhun,37.111671,-4.950998
1246494,DES13X3bhxe,36.475040,-4.141365
1246496,DES13X3bhuo,37.372006,-5.078915
1246497,DES13X3cda,36.558174,-4.217793
1246498,DES13X3cap,36.566231,-4.169800
1246499,DES13X3bdex,36.608952,-4.232036
1246500,DES13X3bhwd,36.615341,-4.151225
1246501,DES13X3mg,35.893730,-4.184085
1246502,DES13X3bhvy,36.689697,-4.148800
1246506,DES13X3bhui,36.008476,-4.118171
1246510,DES13X3bhsj,36.184425,-4.329928
1246514,DES13X3dfl,36.375370,-4.297727
1246515,DES13X3pp,36.393536,-4.289726
1246517,DES13X3rg,37.006363,-3.976509
1246520,DES13X3rj,37.151520,-4.054647
1246521,DES13X3bhsp,35.840401,-5.042999
1246527,DES13X3dbe,36.018959,-5.016278
1246529,DES13X3qr,36.113865,-4.944012
1246530,DES13X3abbd,36.087246,-4.963611
1246532,DES13X3dgc,36.640873,-4.544394
1246539,DES13X3dur,36.880417,-4.513966
1246540,DES13X3ayct,36.900597,-4.532035
1246543,DES13X3bhtp,36.378567,-5.180583
1246548,DES13X3dfv,36.498356,-5.211881
1246549,DES13X3dfw,36.508129,-5.206040
1246552,DES13X3dgj,36.932510,-5.138336
1246559,DES13X3afi,36.531342,-5.352022
1246562,DES13X3anbk,36.546764,-5.411808
1246571,DES13X3bhtc,36.827221,-5.184082
1246576,DES13X3bhtd,36.905838,-5.204649
1246577,DES13X3bhsg,36.185913,-5.305625
1246580,DES13X3bhwa,35.842537,-3.822805
1246587,DES13X3arm,35.949822,-3.795253
1246589,DES13X3khi,36.031128,-3.901844
1246590,DES13X3bhwb,36.032814,-3.909231
1246591,DES13X3pb,36.406185,-5.335293
1246599,DES13X3cau,35.713005,-4.537218
1246602,DES13X3bhue,35.736671,-4.504560
1246604,DES13X3cav,35.763680,-4.569425
1246606,DES13X3pm,35.779465,-4.449807
1246609,DES13X3qd,36.104267,-5.333614
1246617,DES13X3dbm,37.142761,-4.367786
1246618,DES13X3va,37.176445,-4.349217
1246619,DES13X3ow,37.186115,-4.352314
1246620,DES13X3dzp,37.200111,-4.387998
1246623,DES13X3vb,37.225189,-4.348439
1246626,DES13X3dbn,37.306580,-4.333969
1246630,DES13X3bhsr,36.852703,-5.301960
1246633,DES13X3qe,36.928154,-5.352825
1246637,DES13X3qf,36.970783,-5.334288
1246639,DES13X3bhss,37.023975,-5.274676
1246650,DES13X3dfr,35.910469,-5.107677
1246654,DES13X3bhsu,36.832356,-3.972265
1246657,DES13X3bdam,36.153812,-4.785888
1246658,DES13X3bhtm,36.229401,-4.845535
1246668,DES13X3bhsw,36.617016,-4.887001
1246669,DES13X3bhsx,36.618408,-4.910836
1246670,DES13X3dbi,36.641575,-3.690181
1246671,DES13X3axtz,36.713951,-3.649004
1246672,DES13X3dbj,36.731316,-3.694541
1246676,DES13X3bczs,36.867168,-3.766486
1246677,DES13X3asox,36.854065,-3.679259
1246678,DES13X3bdv,36.890793,-3.630625
1246681,DES13X3aayd,35.530575,-4.355244
1246682,DES13X3dfx,35.862904,-4.811214
1246686,DES13X3ayfr,35.570824,-4.346003
1246688,DES13X3cds,35.943550,-4.912651
1246689,DES13X3gar,35.652165,-4.418534
1246695,DES13X3dfy,36.028225,-4.856952
1246698,DES13X3bhvs,36.044186,-4.841516
1246703,DES13X3bhwi,36.173657,-4.261714
1246706,DES13X3avb,36.225830,-4.199385
1246707,DES13X3pl,36.258949,-4.145664
1246708,DES13X3aef,36.265060,-4.140365
1246710,DES13X3bhus,36.343376,-4.176273
1246713,DES13X3bxb,36.634934,-4.635812
1246714,DES13X3bhwm,36.641975,-4.696462
1246716,DES13X3bhwn,36.875477,-4.662690
1246717,DES13X3dgb,36.880352,-4.616096
1246722,DES13X3dfz,36.960655,-4.959795
1246729,DES13X3bbu,36.052258,-4.456513
1246730,DES13X3bhuy,36.182415,-4.452180
1246731,DES13X3apdm,35.707672,-4.747735
1246732,DES13X3bhty,35.721539,-4.753860
1246733,DES13X3bhsi,35.788757,-4.636294
1246745,DES13X3gxl,35.486000,-4.637937
1246748,DES13X3cbk,35.558319,-4.670578
1246749,DES13X3dfn,36.818722,-4.398641
1246750,DES13X3caj,36.857182,-4.310439
1246752,DES13X3bhsv,36.916603,-4.388243
1246753,DES13X3bexv,36.964233,-4.313740
1246756,DES13X3dfp,37.022461,-4.324951
1246758,DES13X3dfs,36.618942,-5.539180
1246764,DES13X3cbb,36.796429,-5.560310
1246765,DES13X3cbc,36.900753,-5.434749
1246770,DES13X3bhta,36.614605,-3.818424
1246778,DES13X3bhtf,35.592499,-4.580914
1246784,DES13X3dun,36.976448,-3.849417
