CID,nnondet_g,nnondet_r,nnondet_i,nnondet_z
1246273,0,0,0,0
1246344,0,0,0,0
1246433,0,0,0,0
1246515,0,0,0,0
1246618,20,18,0,0
1246707,0,0,0,23
1246796,0,1,1,1
1246929,30,1,27,0
1246998,28,27,26,27
1247102,30,30,30,30
1247194,0,0,0,0
1247285,0,1,1,1
1247378,24,0,0,0
1247483,24,0,0,0
1247576,0,0,0,0
1247663,2,3,1,0
1247751,26,1,0,0
1247832,0,0,1,2
1247925,0,2,0,0
1248035,0,0,5,15
1248104,4,1,2,2
1248139,0,0,1,1
1248308,28,3,1,0
1248431,52,51,0,1
1248543,1,0,0,2
1248645,1,13,12,13
1248743,3,0,1,0
1248845,7,5,8,3
1248939,1,0,0,2
1249035,0,0,0,0
1249142,2,2,3,4
1249235,0,0,0,0
1249328,0,0,0,0
1249431,27,25,27,27
1249515,0,0,0,0
1249616,2,3,8,8
1249708,28,2,2,2
1249777,0,5,5,13
1249868,6,1,1,6
1249910,0,8,1,5
1249951,28,27,1,1
1250082,0,0,0,0
1250228,1,0,0,0
1250348,27,26,27,27
1250448,24,25,24,26
1250541,0,1,0,0
1250615,1,1,1,1
1250693,1,2,3,4
1250810,23,1,9,26
1250911,20,1,0,1
1250995,20,18,20,23
1251091,1,27,25,26
1251154,6,13,20,25
1251265,4,2,0,1
1251425,0,26,27,27
1251583,0,0,0,1
1251663,23,22,21,26
1251956,22,24,23,23
1252128,0,0,0,2
1252254,59,60,48,57
1252464,5,6,7,22
1252560,3,3,29,28
1252708,0,2,12,9
1252831,24,11,12,12
1252955,5,5,5,5
1253031,28,28,29,13
1253191,6,4,9,14
1253352,20,22,13,24
1253442,0,0,0,0
1253577,0,15,27,22
1253716,3,3,5,23
1253857,20,4,4,23
1253957,28,28,29,28
1254028,28,31,29,7
1254120,23,22,6,26
1254263,26,26,27,27
1254351,4,4,2,14
1254512,6,5,8,26
1254669,28,28,14,28
1254771,6,2,6,4
1254932,27,28,21,26
1255097,28,27,25,27
1255271,5,10,11,24
1255397,2,0,8,27
1255501,24,8,26,12
1255608,10,12,14,13
1255718,20,18,19,23
1255865,20,15,13,5
1255985,50,17,52,51
1256093,30,31,31,1
1256178,27,26,27,27
1256266,25,26,27,26
1256419,9,9,8,9
1256617,23,22,27,26
1256800,12,10,20,23
1256985,28,19,28,19
1257184,18,10,10,10
1257366,12,13,13,13
1257533,9,7,5,10
1257750,9,12,13,13
1257911,0,0,0,3
1258090,12,12,13,12
1258231,24,25,12,15
1258406,25,26,27,26
1258503,7,22,11,9
1258908,0,0,1,1
1259106,12,12,14,12
1259316,28,27,27,15
1259537,0,24,25,23
1259651,27,20,38,53
1259869,13,13,27,26
1260038,27,26,26,16
1260210,11,10,12,14
1260326,20,10,12,14
1260459,20,10,12,14
1260677,7,22,25,28
1260961,28,27,26,27
1261139,28,19,28,20
1261259,15,13,18,16
1261503,14,15,16,16
1261915,4,2,2,25
1262132,27,27,26,26
1262264,14,9,29,10
1262515,27,26,19,16
1262709,6,22,27,26
1262814,20,18,20,23
1263108,23,22,27,26
1263318,22,20,21,27
1263577,28,21,27,27
1263787,17,12,17,26
1263901,28,23,29,26
1264083,26,23,22,23
1264539,23,16,21,20
1264727,28,28,29,24
1265135,24,0,7,21
1265353,20,16,18,21
1265521,17,16,17,23
1265818,21,20,24,26
1266041,27,26,27,27
1266303,24,19,24,21
1266512,3,3,1,31
1266734,0,0,0,0
1266965,24,26,26,25
1267220,23,22,27,26
1267450,21,22,25,24
1267800,5,10,20,19
1272954,1,0,0,27
1273034,17,33,38,51
1273153,8,2,36,30
1273239,1,3,11,16
1273313,6,0,0,27
1273430,12,7,7,9
1273654,23,23,1,27
1273795,0,6,14,29
1274014,4,1,19,16
1274152,22,23,24,23
1274248,27,28,6,28
1274339,1,27,26,27
1274518,2,2,0,13
1274647,1,27,26,26
1274740,28,28,29,28
1274859,2,2,2,7
1275109,18,2,1,0
1275316,9,23,29,28
1275422,0,12,4,12
1275471,0,5,20,14
1275523,16,5,1,21
