CID,peakmag_g,peakmag_r,peakmag_i,peakmag_z,peakmjd_g,peakmjd_r,peakmjd_i,peakmjd_z
1246273,22.22192775441461,22.511208163766113,22.459611220121364,22.281167560664766,56552.27099999999,56551.247,56543.314000000006,56534.225
1246344,22.095532203136194,22.164397810133526,22.285703512086492,21.732008947126467,56567.219000000005,56590.343,56590.345,56590.348
1246433,22.320202974090485,22.250798397226873,22.223778250408326,22.45982045816494,57345.079000000005,57301.294,57365.081,57317.097
1246515,24.06125247995154,23.084711791946464,23.050990736520106,23.06910403637201,56536.207,56538.261,56537.379,56563.33900000001
1246618,26.22696008056859,25.099346428651977,24.40162615248466,24.045498143738243,56653.114,56559.299000000006,56537.379,56537.291
1246707,23.482274307021047,23.385437662578152,23.47409496115009,23.599994183066585,56591.197,56592.108,56576.126,56615.111
1246796,23.694085062005477,23.61020927611763,23.312365215800618,23.441230694721227,56543.223,56545.21,56543.385,56543.337999999996
1246929,25.07228607192428,23.373794070965264,23.151623025373922,22.666927339933512,56558.052,56520.238,56590.029,56520.242999999995
1246998,23.819279324150607,24.658277835819355,21.90670628956301,23.138837245552693,56557.069,56534.187999999995,56567.072,56606.03
1247102,24.291746928241125,23.284325663715528,23.119821232271885,23.295608359741223,57265.223,57235.18,57287.074,57311.027
1247194,22.28152263750703,22.41262713330907,21.83777843469845,22.308216888274938,56642.055,56538.163,56567.072,56590.018
1247285,23.07522802520502,23.042833482339518,22.774129122901822,22.806096549696708,57998.125,58021.062999999995,58040.039000000004,58099.151
1247378,24.019225100267953,22.969672694567603,22.468961563093917,22.45783432292756,56551.293,56534.206,56534.208,56534.210999999996
1247483,24.496916978297815,23.427955241857422,23.02268694071547,23.024410276052926,56648.145,56534.206,56534.208,56615.03
1247576,20.391575408734937,21.74574342261714,21.79633706700118,21.74606868810931,57763.065,57657.225,57709.026,57680.117999999995
1247663,23.957650206147395,20.72421991399657,21.646512621189895,21.36632191569266,56615.037000000004,56685.174000000006,56567.21,56685.178
1247751,23.414235157696815,23.778235515045516,22.60422352408078,22.53424658235851,56551.21599999999,56543.236,56536.231,56536.233
1247832,22.495990189625505,22.542626778563754,22.653262978443788,22.70883880806653,56543.21,56543.212,56551.28,56547.206
1247925,22.482017941107397,22.681150660858815,22.308945081598516,22.469172611049633,57625.248,57789.049000000006,57673.297,57708.098
1248035,22.312228008958748,22.119508544164475,22.258159348843826,22.473296267171392,56635.068,56697.068,56595.073,56660.11
1248104,24.57075698187791,23.840715346145316,23.670089915129136,23.35795840488958,56536.207,56576.19,56564.268,56595.165
1248139,23.100811506071338,22.471602615733474,22.290616556074973,21.85664368373706,56534.233,56534.235,56590.315,56536.252
1248308,24.2053115539636,22.698830744582576,21.91313749842987,21.542033001312753,56559.19,56552.274000000005,56590.345,56543.317
1248431,24.23974352092086,24.247207885310925,23.237672853012803,22.227066446436318,56536.257000000005,56606.111,56534.223,56590.348
1248543,22.768650488353412,23.296263745095736,23.378441411023026,23.093810010624917,56536.257000000005,56545.25,56538.34,56595.115999999995
1248645,22.946986129177986,22.846223712388845,23.051171103356317,22.88102208596268,58122.077000000005,58124.099,58124.125,58117.114
1248743,22.847464050080184,23.228820273443894,23.10247439840292,22.9863837925289,57791.062999999995,57771.092000000004,57771.121,57782.123
1248845,23.354947646285268,23.750095336009526,23.389987341316935,23.251489795461655,57791.062999999995,57746.085,57763.126,57782.123
1248939,23.252227609152268,23.051315418401938,23.29175186940085,22.04275133112935,56567.082,56547.083,56563.041,56590.032
1249035,21.228978741008348,21.42195256200287,21.599889886694346,21.507410661552264,56690.051,56690.053,56645.126,56590.032
1249142,22.712622347180297,22.097179186593753,22.0848132066073,22.303857954866768,56551.26,56567.084,56563.041,56558.059
1249235,22.224115043339996,22.119508544164475,22.312319343234705,22.051264147486375,57773.045999999995,57773.049000000006,57773.051,57627.37
1249328,23.517505202529733,22.586560599115934,22.41142565453863,22.51764466885013,56534.282999999996,56538.328,56543.3,56547.233
1249431,23.72914713224971,23.695324971254603,22.71846189520517,22.070026043244702,56667.087999999996,56534.28599999999,56675.047,56567.178
1249515,22.491671853596685,22.58230066463876,22.53709646201237,22.34787781740298,56534.282999999996,56538.328,56534.288,56606.074
1249616,23.153801747715534,22.86008212412522,22.76969389702976,22.84508922289192,56551.293,56567.16,56559.172,56559.174000000006
1249708,24.349702224921565,23.6824082740171,23.376078757695062,22.10063097368932,56615.096,56543.312000000005,56543.314000000006,56590.348
1249777,22.50381763795969,22.87892675356104,22.24391573579666,22.829314892560774,57266.27,57284.34099999999,57315.265,57288.218
1249868,23.37425548184241,23.202459434124087,23.086499257634465,23.153385472019167,56551.21599999999,56558.234000000004,56543.238,56567.212999999996
1249910,21.557600027224836,21.29306607481316,21.201874250401183,20.954905920853168,57770.079000000005,57722.287000000004,57756.165,57746.140999999996
1249951,23.503817129958552,22.242887089386453,22.30322373667931,21.91162084205647,56642.055,56642.057,56547.085,56534.16099999999
1250082,21.64138004048192,21.886403414910582,21.92298392882779,21.923366882051944,57625.3,57626.292,57625.305,57633.28400000001
1250228,21.582122897792303,-99.9999,-99.9999,21.444264247766093,56563.244000000006,-99.9999,-99.9999,56559.225999999995
1250348,24.30781194717113,24.337365528739962,24.117807915055707,22.852695006939086,56579.139,56606.069,56675.047,56635.047999999995
1250448,23.48743808567494,23.152474187335905,22.670249808428785,22.955921332023713,56698.030999999995,56538.385,56534.208,56595.08900000001
1250541,22.455330702591237,22.218068697236575,22.282944107252344,21.741307865990294,57642.295,57645.207,57645.209,57673.302
1250615,23.553831771036382,23.33966484565346,23.417844899749426,23.11732608008799,56547.291,56559.299000000006,56564.268,56558.262
1250693,23.315214014265027,23.060118733155747,22.502793933790933,22.821782964910838,56591.197,56627.16099999999,56564.268,56615.111
1250810,23.69561884148309,23.932299528909102,24.291803478474467,24.17482841011403,56536.257000000005,56595.237,56552.36,56538.278
1250911,25.833564660766374,23.91769697166697,23.62458204872455,23.36301900317205,56646.077000000005,56580.155,56608.207,56595.165
1250995,23.823716519578337,23.90328820729567,23.717888934698003,23.411642548944467,56547.291,56559.299000000006,56547.362,56543.337999999996
1251091,23.666841208053214,23.439191607476946,23.457132052092785,23.200201647187427,56551.21599999999,56590.33,56543.238,56551.223
1251154,23.320818510947785,23.6247044093259,23.958689964328368,23.73309496150663,58099.203,58064.217000000004,58108.183,58071.245
1251265,27.624733168107937,22.89033033396788,20.129591329398473,21.217622300068776,57615.335999999996,57653.280999999995,57643.274000000005,57770.074
1251425,23.292833010844188,23.00289017733582,23.072667564368352,22.135843823231134,56682.039000000004,56590.299000000006,56534.288,56631.184
1251583,22.558712390655188,22.702985202502767,22.55723497237126,22.775919497735316,57778.044,57763.054000000004,57730.085999999996,57739.07
1251663,24.276640887203413,25.309181111522577,24.724199257899258,24.24959865762162,56590.358,56611.323,56538.34,56636.056
1251956,23.669962331556164,23.923401659588365,23.190417111721587,23.072134127962535,56615.053,56595.070999999996,56547.203,56606.060999999994
1252128,21.190406307308773,21.80049055001474,21.125530704271803,21.91592354958884,58026.320999999996,58057.328,58026.325,58125.117
1252254,23.06884732646629,22.74818118639792,22.261204894192122,23.27524125636021,57995.343,58026.337,58026.33900000001,57996.344000000005
1252464,23.18071996645036,22.918488244012636,22.84890042699549,22.76551239986604,58113.062999999995,58136.056,57998.23,58045.105
1252560,23.290312020099392,23.320286802923626,22.86305110158963,22.200870694900324,56552.27099999999,56563.203,56590.345,56590.348
1252708,21.804717210050413,21.788641192603126,22.304401865475835,21.575059662818934,57686.148,57686.15,57702.109000000004,57686.155
1252831,24.406832026240018,23.141931350064514,23.187856822551264,22.699809138051968,56591.077000000005,56607.03599999999,56595.087,56595.08900000001
1252955,21.405702846659402,21.488214968327753,21.504932852790784,21.67447303857118,56567.206,56575.18,56590.332,56575.185
1253031,24.07501334597893,24.097002980977177,22.367111742595302,23.021668294573523,56551.245,56552.274000000005,56590.345,56594.14
1253191,23.145919673021414,23.35482834379141,23.223670024213042,23.272053056645113,56635.258,56615.254,56636.128,56607.212999999996
1253352,23.185282146714567,24.386280021774326,22.34759471726542,22.65887901918041,58008.304000000004,58064.191,58092.066,58082.181
1253442,21.376921292193767,21.67295133376041,21.839845323205303,21.599179279819868,57728.032,57671.096,57728.03599999999,57687.085
1253577,22.70405906087477,22.87017330339933,23.054531399793536,22.957210903279318,58057.08,57995.41099999999,57999.268,57998.235
1253716,24.70599327077479,24.533739253767152,24.801956410633583,24.59635538257062,56563.168,56564.31,56568.219000000005,56568.14599999999
1253857,25.60962734914404,24.298212701272483,23.580728847178626,23.788894480893983,56635.142,56576.19,56576.126,56579.265
1253957,25.004951372666103,23.875455800699267,24.45813416597506,23.74903141019704,56590.34099999999,56551.247,56551.249,56543.317
1254028,22.650478285484482,23.410687613672152,26.070233193651948,22.334091994353763,57681.15,57791.093,57683.112,57770.155
1254120,24.986726907878708,25.810256410889192,24.691024168483317,24.031881471606688,56590.358,56579.335999999996,56611.287000000004,56595.115999999995
1254263,25.328697479121082,24.610597467805192,24.00129162123887,21.67721749329545,56559.205,56579.142,56675.047,56631.184
1254351,24.08328902705264,23.639922956216225,24.30094669378986,22.99891188704568,56579.204000000005,56676.117999999995,56608.207,56595.165
1254512,24.702355406191906,22.762203639912137,24.126903343279682,24.479972127767912,56579.194,56595.237,56595.212999999996,56615.15900000001
1254669,23.99982125413126,23.54825765071891,22.587431070225968,23.029225469732374,56675.1,56615.098,56590.345,56642.09099999999
1254771,23.798222445227992,22.52718783696602,21.457483937203,22.6941596730603,58054.094000000005,58028.166,58026.325,58008.355
1254932,23.090288721177245,24.506109467116158,22.825395872391695,23.44848883652569,56990.029,56949.015999999996,56916.075999999994,56930.121
1255097,23.200988232590944,23.493927537906135,22.676797621413172,22.082667262822113,56567.068,56579.015,56567.072,56642.047999999995
1255271,22.967198919180518,22.80191613296563,22.499023276875224,22.49577386441962,57305.265,57312.14,57299.209,57297.209
1255397,23.486602686277877,23.48514900771457,23.37122347635122,23.125736490425737,56550.246,56534.28599999999,56543.3,56550.253
1255501,24.118723680448173,23.12247622165627,22.806859667216035,23.19578253903238,56559.167,56579.128,56595.087,56602.07
1255608,21.942883800064624,22.200046731739615,21.634753541572522,21.7308855779577,58109.056,58113.065,58113.068,58109.062999999995
1255718,25.145749461786366,24.80123288793808,24.274579450300575,23.775666140543976,56547.291,56545.21,56547.362,56595.165
1255865,24.82241331236462,23.521893143541227,23.387820792162223,23.21803913572783,56607.157999999996,56669.081,56615.206,56591.255
1255985,23.913178645550605,24.284813615311066,23.143835272813998,23.645209835212384,56615.096,56559.193,56606.113,56653.093
1256093,24.548466873470993,24.74967699160048,24.508040155655728,22.927512921648592,57708.062999999995,57686.023,57752.064000000006,57645.094000000005
1256178,23.36366827346589,23.362394146671996,22.78223732263449,21.82010571866444,56550.246,56579.142,56675.047,56660.054000000004
1256266,22.85599038576339,23.215056284371638,22.57529589063375,22.809354337354343,57999.264,58008.199,57998.23,57991.267
1256419,21.61554591367796,21.647700516499594,21.786331773849856,22.0383423884258,56590.325,56590.33,56590.332,56590.334
1256617,25.25453133936001,24.304259479771815,24.30357324597371,24.41307426209771,56607.069,56595.237,56552.36,56595.115999999995
1256800,24.337955442476158,24.427780579951445,24.482261148951956,24.7209197207285,56595.106,56603.052,56592.081,56677.06
1256985,24.845144269929783,23.05797473232247,22.94823231147234,22.236480035477058,57426.143,57356.17,57426.147000000004,57426.15
1257184,23.838366356376245,22.15487513948778,21.98145270795797,22.13530050882345,57011.070999999996,57021.045,57021.047,56959.107
1257366,21.45130848893165,21.177226520596598,21.26034162379489,21.633677489745338,56614.073,56614.075,56615.100999999995,56614.08
