CID	FLAG
1246878 1
1247019 0
1247022 1
1248312 1
1248343 5
1248577 5
1248584 1
1248738 1
1248740 1
1248742 1
1248743 1
1248907 1
1248909 1
1249226 5
1249266 1
1249322 5
1246812 1
1246804 1
1246813 1
1246891 1
1246892 5
1246895 5
1247087 1
1247267 1
1247268 5
1247548 1
1247552 1
1247890 1
1247894 1
1248252 1
1248402 5
1248894 0
1249043 1
1249155 1
1249164 1
1249282 1
1249286 1
1249289 1
1249308 1
1249327 1
1249341 1
1246404 7
1246314 1
1246406 1
1246681 1
1246686 1
1246689 1
1246703 1
1246706 1
1246707 1
1246708 1
1246710 1
1246874 1
1246877 1
1247396 1
1247407 1
1247452 1
1247594 1
1248098 0
1248099 1
1248100 0
1248102 7
1248127 1
1249380 2
1249411 0
1249414 0
1246410 1
1246417 1
1246418 7
1246929 1
1246978 1
1246980 1
1246983 1
1246985 1
1246986 1
1247030 1
1247034 5
1247035 1
1247053 0
1247134 1
1247146 1
1247158 5
1248101 5
1248103 1
1248132 1
1248135 1
1248963 1
1248973 1
1248976 1
1246731 1
1246732 1
1246733 5
1247182 1
1247214 5
1247215 1
1247278 1
1247498 1
1248052 1
1248727 1
1248915 1
1249125 5
1249128 1
1249145 1
1249156 1
1249173 1
1249178 1
1249182 1
1246486 1
1246496 5
1246682 1
1246688 5
1246695 1
1246698 5
1246817 1
1246818 1
1246819 1
1246823 1
1247608 1
1248008 1
1248125 1
1248133 1
1248134 1
1248483 1
1248486 5
1248489 1
1247761 1
1247775 0
1247777 0
1248115 1
1248167 1
1248168 1
1248441 1
1248608 1
1248610 1
1248612 1
1248695 1
1248696 1
1248710 5
1248719 1
1248863 1
1248882 3
1248927 1
1248928 1
1248930 1
1248932 1
1249187 1
1249192 1
1249295 1
1249300 5
1249326 1
1249328 1
1246571 1
1246576 1
1247043 1
1247344 1
1247352 2
1247606 0
1247643 1
1247647 1
1247652 5
1247653 0
1247967 1
1248065 1
1248283 1
1248284 1
1248417 5
1248418 1
1248939 1
1248942 1
1246520 1
1246517 1
1248335 1
1248345 1
1248944 1
1249264 1
1249342 1
1249381 1
1249395 1
1249436 5
1249441 7
1249445 3
1249447 0
1249448 1
1249449 5
1249450 1
1249451 0
1249452 1
1249453 1
1249454 1
1249459 0
1249462 1
1249487 1
1249490 1
1249500 1
1246273 1
1246274 5
1246392 1
1246832 1
1246837 5
1246938 5
1246945 1
1247061 5
1247065 1
1247070 1
1247074 0
1247085 1
1247096 1
1247276 1
1247322 5
1247326 5
1247504 1
1247557 5
1247559 1
1247699 0
1247989 5
1247991 5
1246320 1
1246322 5
1246330 1
1246338 1
1246729 1
1246730 5
1246841 1
1246842 1
1247179 1
1247429 0
1247561 5
1247600 1
1247716 1
1247719 5
1247722 1
1247945 1
1248545 1
1248562 5
1248565 1
1248593 1
1248675 1
1248676 1
1248677 1
1248895 7
1246510 5
1246514 1
1246515 1
1247570 1
1247573 1
1247738 0
1247742 0
1247875 1
1247885 1
1248045 1
1248084 1
1248085 1
1248094 5
1248416 3
1248543 5
1248546 1
1248556 1
1248587 5
1248590 1
1248892 5
1248961 1
1248962 1
1246617 1
1246618 1
1246619 1
1246620 1
1246623 1
1246626 1
1246657 0
1246658 0
1247507 1
1248013 1
1248786 5
1248792 1
1248793 1
1248990 1
1248993 1
1248994 1
1249002 1
1249010 1
1249064 1
1249093 1
1249098 1
1249151 1
1249168 1
1249171 1
1249211 1
1246351 1
1246402 1
1246403 1
1247093 1
1247097 1
1247099 1
1247106 1
1247110 1
1247113 1
1247114 5
1247642 0
1248660 1
1248663 1
1249652 0
1249730 1
1250064 0
1250086 1
1250157 1
1250166 1
1250175 1
1250185 1
1250187 1
1246360 1
1246375 1
1246559 1
1246562 1
1247597 0
1247826 1
1248015 5
1248019 5
1248031 5
1248032 1
1248035 1
1248450 1
1248452 1
1248840 5
1249090 1
1249215 1
1249217 1
1250068 1
1250075 1
1250191 1
1250204 1
1247032 5
1247028 5
1249696 1
1250026 1
1250029 5
1250192 1
1250242 1
1250252 1
1250253 7
1250279 1
1250315 5
1250322 1
1250325 1
1250329 1
1250332 1
1250340 1
1250355 5
1250397 1
1246381 1
1246382 5
1246973 1
1246974 1
1246976 1
1247029 1
1247294 1
1247295 1
1247297 1
1247299 5
1247315 5
1247437 1
1247567 5
1247568 1
1247925 5
1247930 1
1248321 1
1248323 1
1248324 1
1248325 1
1248328 1
1248626 1
1248629 1
1248633 1
1248634 1
1248637 1
1249660 1
1249682 1
1249700 0
1246303 0
1246304 1
1246299 5
1246348 1
1246420 1
1246422 1
1246430 1
1246552 1
1246784 1
1246786 1
1248124 0
1249235 5
1249236 1
1249273 1
1249317 1
1249745 1
1249747 5
1249754 5
1249755 1
1249757 5
1246341 1
1246344 1
1247160 5
1247164 5
1247167 5
1247360 1
1247363 5
1247697 1
1247705 0
1248645 1
1248806 0
1248808 5
1248886 5
1248887 5
1248890 1
1249227 1
1249369 1
1249525 1
1249535 5
1249753 1
1249881 1
1246326 1
1246323 1
1247619 0
1247625 1
1247645 0
1247692 1
1247698 1
1248131 5
1248217 1
1248379 1
1248673 1
1248794 1
1248798 1
1248824 0
1249214 1
1249223 5
1249540 1
1249541 1
1249545 7
1249546 1
1249547 5
1249549 1
1249550 1
1249558 3
1246275 1
1246276 1
1246453 1
1246456 1
1246458 5
1246459 5
1246460 1
1246577 5
1246591 5
1246791 1
1246795 1
1246796 1
1246801 1
1246865 0
1246869 1
1246952 1
1246954 1
1246964 1
1246965 5
1246990 1
1246993 1
1247290 1
1246278 1
1246380 1
1246956 0
1246961 1
1246975 1
1246998 1
1247001 1
1247194 1
1247232 1
1247234 5
1247658 1
1247660 5
1247663 0
1247971 1
1247974 1
1248003 1
1248005 1
1248106 1
1248116 5
1248121 1
1248126 1
1248291 1
1249058 1
1249072 1
1249089 1
1249100 0
1246922 1
1246927 1
1247049 1
1247055 4
1247325 1
1247327 5
1247851 3
1247855 5
1247949 5
1247950 5
1247962 5
1247965 1
1247968 1
1247970 5
1248462 5
1248497 1
1248498 5
1248745 1
1246336 1
1246367 1
1246369 1
1246433 5
1246292 5
1246436 1
1246437 5
1246438 1
1246440 4
1246521 1
1246527 1
1246529 1
1246530 1
1246580 1
1246587 1
1246589 1
1246590 5
1246670 1
1246671 1
1246672 1
1246676 1
1246677 1
1246678 1
1247080 5
1247081 4
1247103 0
1248385 1
1249230 1
1249233 1
1249245 1
1249251 1
1249392 5
1246395 1
1246396 5
1246477 1
1246480 5
1246654 5
1247206 1
1247208 5
1247213 4
1247472 1
1247474 1
1248322 0
1248458 7
1249012 1
1249016 1
1249334 1
1249339 3
1249368 5
1249408 1
1249415 1
1249417 1
1249420 0
1249423 0
1249431 1
1249438 5
1249440 1
1249443 1
1249444 1
1249483 1
1247470 5
1246397 1
1247613 1
1247615 1
1247936 1
1248082 1
1248086 0
1248087 1
1248088 1
1248137 5
1248138 5
1248139 1
1248472 1
1249346 1
1249348 1
1249350 1
1249520 3
1249564 1
1249576 1
1249581 0
1249595 1
1249675 0
1249768 1
1246337 1
1246285 1
1246286 5
1246444 1
1246447 1
1246451 1
1246713 5
1246714 5
1246716 5
1246717 1
1246758 1
1246764 1
1246765 1
1246778 5
1247147 0
1247155 5
1247438 5
1247576 1
1248129 5
1248130 1
1248408 1
1248410 0
1248454 1
1248464 1
1249250 1
1249261 5
1249280 1
1247342 1
1247796 0
1247797 1
1247798 1
1247804 1
1248091 5
1248092 1
1249793 1
1249826 1
1249849 1
1249852 0
1249853 1
1249855 1
1249934 1
1249936 0
1249965 5
1249984 5
1249987 5
1249996 1
1249998 1
1250054 5
1248118 1
1248119 1
1247332 1
1247333 1
1248120 1
1248846 0
1248847 0
1249657 5
1249829 1
1249882 1
1250034 1
1250119 1
1250123 5
1250139 1
1250271 1
1250272 1
1250274 1
1250275 1
1250281 1
1250283 1
1250285 1
1250288 1
1250291 1
1250357 1
1250419 0
1250454 1
1246291 1
1246494 1
1246497 1
1246498 5
1246499 5
1246500 5
1246502 1
1247107 0
1247492 1
1247724 1
1247730 1
1247748 1
1247832 1
1248243 1
